Sarlavha (UZ),Kompaniya (Original),Joylashuv (UZ),Sana (Original),Havola
S / W sinov avtomatlashtirishni tekshirish (piton),(주)링크제니시스,"Seo -Gu, Inchxon",~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51275605&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"[Smaph Informe Texnologiyasi] Java, Python va sun'iy intellekt (AI) platforma dasturchilari",(주)미소정보기술,Gangnam - The Seul,~ 08/04(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50959470&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python veb-sayti Backendni ishlab chiqish,(주)에이아이썸,Gangnam - The Seul,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51171417&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiqaruvchi yollash,(주)애드크림,Gangnam - The Seul,~ 08/13(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51303273&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Python Java Java Serverni yaratish muhandisi,(주)비비파트너스,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51273744&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Rossiyaning robotlarini / UGV ishlab chiqaruvchilarni yollash (va boshqalar),(주)키네틱스,DAEJON Yussong -Gu,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51003706&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Eritma] Backend dasturchilarini yollash (piton),조베이스(주),Seul Gvana-ning,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51162894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend dasturchisi,(주)펫박스,"Mapo -Gu, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51315767&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Ijodiy ai katta ma'lumotlar marketing platformasi ma'lumot muhandisi (piton),(주)빅링크에이아이,Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51315711&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Mashinani ko'rish usulini ishlab chiqaruvchi, C / C ++ / C #, Opencv, Mil, Python, chuqur o'rganish, AI",(주)핸디비전,"YongTton -Gu, Suwon -si, Gyeonggi -do -do",~ 08/05(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51220797&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"[Ichon Hyix] Java, python ishlab chiqaruvchisi to'liq ishlashi",위버로프트(주),Seul Guro -Gu,~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51382676&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Orqa tarafkash (piton) yollash,(주)유니아이,DAEJON Yussong -Gu,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51363242&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Orqaga ishlab chiqaruvchi yollash (Java / Go / Piton),(주)원모어시큐리티,Sejong Maxsus o'zini-o'zi boshqarish shahri,~ 08/11(월),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51009501&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python-ning orqaga chatuschilarni yollash,마젤원(주),Gangnam - The Seul,~ 08/13(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51291506&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend muhandisi,올거나이즈코리아(주),Gangnam - The Seul,~ 08/19(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51348982&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Talosni yollash Python Backend dasturchilarini yollash,(주)탈로스,"Seocho -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51370821&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Fintech Service kompaniyasi Orqa ishlab chiqaruvchi yollash (NodeJs / Piton),주식회사 매직스플릿,"Gangseo -Gu, Seul",~ 08/24(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51391928&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend muhandisi,(주)커넥트브릭,"Mapo -Gu, Seul",~ 08/13(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51303525&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend va ma'lumotlarni tahlil qilish dasturlarini ishga qabul qilish,(주)일릭서,DongdaeMun - The Seul,~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51254035&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiqaruvchi yollash,마이데이터(주),Seul Guro -Gu,~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51316074&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
S / W sinov avtomatlashtirishni ishlab chiqish (piton),(주)링크제니시스,"Seo -Gu, Inchxon",~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326697&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Ma'lumotlar jamoasi python ishlab chiquvchisi (3 yil yoki undan ko'p),(주)왓섭,"Yeongdeungpo -Gu, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51231700&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Veb-ni to'liq stack ishlab chiqaruvchi (piton / Fastki / JavaScript),(주)인터로이드,서울 강남구,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51227282&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Baro Ai] Python ishlab chiqaruvchilarning to'liq ishchilarini yollash,(주)바로에이아이,"Hanam -si, gyeonggi -do -do",~ 08/02(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50942775&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiqaruvchisi (ERP) bandlik,주식회사 스피어코퍼레이션,Gangnam - The Seul,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51054145&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Dasturni ishlab chiquvchi yollash (Delphi, Python, C, C ++)",(주)데이타프로텍,Daegu buk-ning,~ 08/19(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51082921&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
SaoS Backend dasturchilarini yollash (Django · piton ishlab chiqarish),(주)에스엠해썹,"Orani -si, Gyeonggi -do",상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50989937&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Katta pythoneter ishlab chiqaruvchisi LLM dastur va masofadan Sandbox,(주)포지큐브,Gangnam - The Seul,~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51349156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Ma'lumot olimi (Python / chuqur o'rganish oraliq darajasi),(주)디에스이트레이드,"Songpa -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178019&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Orqaga ishlab chiqaruvchi (Python) ishlab chiqaruvchi yollash bo'yicha doimiy ishchilarni yollash,(주)쏘마,"Seongnam -si, Gyeonggi -do -do",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51164176&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiqaruvchi yollash,아이디벨롭(주),"Songpa -Gu, Seul",~ 07/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51165357&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Milliy ilmiy-tadqiqot loyihalarni yollash (python / pishorch / API / Java / javob),(주)케파스,Gangnam - The Seul,~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51184917&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Mudofaa / python ishlab chiqaruvchi yollash,(주)파워넥스,"SIHEUNG -SI, GYEONGI -DO",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51303982&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Veb-orqa yakuniy rivojlanish (ma'lumotlarni modellashtirish va tahlil qilish / piton, java foydalanuvchisi)",(주)스카우트플랜,"Seongdongu, Seul",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51344782&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Kompyuterlarni yollash bo'yicha ishchi martaba ishlab chiqaruvchilarni yollash (piton, elektron)",(주)판도플랫폼,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",오늘마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51354458&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Python] Python ishlab chiqaruvchilarni yollash,주식회사비전코어,Daegu dong-ning,채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51037703&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python orqaga qaytadi [plano],(주)지엔에이컴퍼니,"Seocho -Gu, Seul",~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51241211&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[AI STEAMPUP] Python orqa muhandis,(주)커넥트브릭,"Mapo -Gu, Seul",~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178228&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Java, Python va CMS Web uchun dasturlarni ishlab chiquvchilarni ishga qabul qilish",부산인터넷방송국,Bussanjin -Gu,~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51160553&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Pufakchani qidirish dvigatelini qidirish // (piton orqa oxiriga),(주)버블콘,Seul Guro -Gu,~ 08/16(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51325336&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Old oxirida ishlab chiqaruvchi (reaktsiya / keyingi.Js / python),예진(주),"Songpa -Gu, Seul",내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51398320&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Algoritm ishlab chiqaruvchisi] AI Ko'rishni tekshirish / kompyuter ko'rish (C / C ++ / Python / Cuda),(주)키스템프그룹,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 07/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51285771&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Tabiiy tilni qayta ishlash (NLP) / python dvigatelini rivojlantirish,아일리스프런티어(주),"Jung -Gu, Seul",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51203029&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Katalizator] ai python to'liq ishlab chiqaruvchisini yaratdi,콘센트릭스서비스코리아(유),Gangnam - The Seul,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51021754&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Piton yordamida bulutli AI avtomatlashtirish,(주)가온데이터,"Seocho -Gu, Seul",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51326971&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend dasturchisi (3 yil yoki undan ko'p),(주)왓섭,"Yeongdeungpo -Gu, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51231661&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Ichki reklama portali parvarishlash va yangi xizmatlarni rivojlantirish (piton),(주)애드크림,Gangnam - The Seul,~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51264343&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Fluter va Pythonni ishga tushirish va ishlab chiquvchilar,(주)스마트마켓서비스,Seul Guro -Gu,~ 07/31(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51179112&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"(Amaliyot loyihasi) ishlab chiqaruvchilarni yollash (piton, Aws)",(주)지엘티코리아,"Gangseo -Gu, Seul",~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51364553&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Xavfsizlik echimini ishlab chiqaruvchilarni yollash (zang / python / elektronga asoslangan holda),(주)제로,"Songpa -Gu, Seul",~ 08/12(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51025605&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Python, Django, eng yaxshi qadivergining rivojlanishi",스텝업파트너스(주),"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",채용시,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51333156&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ma'lumotlar ishlab chiqaruvchisi (5-9 yil),주) 석세스코리아컨설팅,"Gvakeon, Gyeonggi -do -do",~ 08/01(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51400831&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Orqa tarafkash (piton) yollash,(주)유니아이,DAEJON Yussong -Gu,~ 08/21(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51332957&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Python Sioido] 00 bank AR agentligi (6),(주)제이투이,"Yeongdeungpo -Gu, Seul",~ 08/06(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51228098&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Python Si Pangyo] Ma'lumotlar milliy vazifalari,(주)제이투이,"Bunddang -Gu, Seongnam -si, Gyeonggi -do -do",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51304583&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python echimini ishlab chiquvchilarni yollash (martaba),바탕에비뉴(주),Seul Guro -Gu,~ 08/09(토),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51262051&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Yarimo'tkazgichni ishlab chiqaruvchi] python ishlab chiqaruvchisi & cs muhandis-muhandis-DigongGi Xvag,(주)메타써치,"H9ASAGON -SI, GYEONGI -DO",~ 08/15(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51314650&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
AI Agent Vision / MFC / C # python tenon tsenorflow cuda yolo rivojlanishi,화랑,"Janubi-Sharqiy-The Cheonan -si, Chungnam",~ 09/09(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51277085&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend dasturchisini yollash,(주)펫박스,"Mapo -Gu, Seul",~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51315719&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"[Veb Backend Developer (piton, java, bahor)]",코리아써치,"Seongdongu, Seul",~ 07/30(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51328075&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[GUI + Excel avtomatlashtirish] Ishni ishlab chiqarishni ishlab chiqaruvchi ish bilan ta'minlash,주식회사비투윈,"Gimpo -si, Gyeonggi -do",상시채용,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51358792&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"Simulyia (piton, ABRURS) muhandis tajribasi / to'liq ishlaydigan xodimlarni yollash",오상자이엘(주),Incheon Bupyeong -Gu,~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51000894&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Multi -Xis robot nazorati muhandisi (piton),(주)에이블랩스,Icheoneu -Gu,~ 08/14(목),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51300571&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python ishlab chiqaruvchi yollash (o'rnatilgan uchun),(주)크랜베리,"Geumcheeeeeeeeeeeeeeeeeee, Seul",~ 08/10(일),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51276213&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Bepul IT Botily] Java Pie Sun / Veb yaratish / Big liscise,(사)한국아이씨티에이아이기술협회,"Mapo -Gu, Seul",내일마감,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=50883351&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
"[ExIion Labs Co., Ltd] Piton ishlab chiqaruvchilarni yollash",엑시온랩스(주),DaGu Dalseo -Gu,~ 08/08(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51338295&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
J -TO -PYHON AI ma'lumot tahlili mutaxassisi,제이투케이,"Seocho -Gu, Seul",~ 08/20(수),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51347718&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Incheeon Songdo] Python AI rivojlanish institutini yollash,(주)애나,Icheoneu -Gu,~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51096517&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
[Incheeon Songdo] Python -Based LLM model dasturchilarini yollash,(주)애나,Icheoneu -Gu,~ 07/29(화),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51154057&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Piton ishlab chiqaruvchi operatsiyasini yollash,(주)아이이에이,"Gangseo -Gu, Seul",~ 08/22(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51375343&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
Python Backend dasturchisi,(주)퀀터스테크놀로지스,Gangnam - The Seul,~ 08/29(금),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=51178348&location=ts&searchword=python&searchType=search&paid_fl=n&search_uuid=5d7f0c09-f1a3-4b48-b09f-a86a6025d593
